Month Name,Agency,Description,Borough,# of Incidents,Response Times
2014 / 12,FDNY,Average response time to structural fires,Bronx,710,310.87
2014 / 12,FDNY,Average response time to structural fires,Brooklyn,910,267.16
2014 / 12,FDNY,Average response time to structural fires,Manhattan,642,297.22
2014 / 12,FDNY,Average response time to structural fires,Queens,548,313.95
2014 / 12,FDNY,Average response time to structural fires,Staten Island,138,375.33
2014 / 12,FDNY,Average response time to non-structural fires,Bronx,178,351.65
2014 / 12,FDNY,Average response time to non-structural fires,Brooklyn,330,303.45
2014 / 12,FDNY,Average response time to non-structural fires,Manhattan,226,349.63
2014 / 12,FDNY,Average response time to non-structural fires,Queens,256,366.92
2014 / 12,FDNY,Average response time to non-structural fires,Staten Island,66,364.39
2014 / 12,FDNY,Average response time to non-fire emergencies,Bronx,10130,464.30
2014 / 12,FDNY,Average response time to non-fire emergencies,Brooklyn,14722,413.92
2014 / 12,FDNY,Average response time to non-fire emergencies,Manhattan,11404,446.14
2014 / 12,FDNY,Average response time to non-fire emergencies,Queens,10014,464.70
2014 / 12,FDNY,Average response time to non-fire emergencies,Staten Island,2366,436.40
2014 / 12,FDNY,Average response time to non-fire emergencies,Unspecified,12,631.50
2014 / 12,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Bronx,910,442.02
2014 / 12,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Brooklyn,1296,444.08
2014 / 12,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Manhattan,844,423.37
2014 / 12,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Queens,1174,467.70
2014 / 12,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Staten Island,296,475.66
2014 / 12,EMS,"Average response time to segment 1 medical emergencies, as defined by the department, including cardiac arrest and choking incidents by ambulance units",Unspecified,4,545.50
2014 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Bronx,18238,555.56
2014 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Brooklyn,22426,531.72
2014 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Manhattan,17958,529.27
2014 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Queens,15478,580.39
2014 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Staten Island,3644,563.18
2014 / 12,EMS,Average response time to life threatening medical emergencies by ambulance units,Unspecified,30,701.07
2014 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Bronx,45124,755.40
2014 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Brooklyn,54486,661.67
2014 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Manhattan,44352,693.54
2014 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Queens,36400,666.40
2014 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Staten Island,8132,630.22
2014 / 12,EMS,Average response time to life threatening and non-life threatening medical emergencies by ambulance units combined,Unspecified,92,854.96
2014 / 12,FDNY,Average response time to life threatening medical emergencies by fire units,Bronx,4540,448.11
2014 / 12,FDNY,Average response time to life threatening medical emergencies by fire units,Brooklyn,7084,401.39
2014 / 12,FDNY,Average response time to life threatening medical emergencies by fire units,Manhattan,5272,440.44
2014 / 12,FDNY,Average response time to life threatening medical emergencies by fire units,Queens,5150,452.28
2014 / 12,FDNY,Average response time to life threatening medical emergencies by fire units,Staten Island,1240,423.15
2014 / 12,FDNY,Average response time to life threatening medical emergencies by fire units,Unspecified,12,750.67
2014 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Bronx,19028,515.95
2014 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Brooklyn,23560,470.18
2014 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Manhattan,19296,492.19
2014 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Queens,16334,509.40
2014 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Staten Island,3870,493.38
2014 / 12,Aggregate,Combined average response time to life threatening medical emergencies by ambulance and fire units,Unspecified,30,653.33
2014 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Bronx,13006,58.19
2014 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Brooklyn,15344,59.48
2014 / 12,EMS,Percentage of response time of less than 10 minutes to Advanced Life Support medical emergencies by Advanced Life Support ambulances,Manhattan,12926,67.01
